user_id,button_name,question_id,question_text,user_answer,timestamp
0,Begin Study,NULL,NULL,NULL,23:46.5
1,Claim User ID,NULL,NULL,NULL,23:49.6
1,Begin Prestudy,NULL,NULL,NULL,24:00.9
1,Submit,NULL,What's your age?,26,24:11.3
1,Submit,NULL,What's your major?,Computer Science,24:20.1
1,Submit,NULL,The graph above shows the percentage of people who die from different types of c,25,24:38.6
1,Submit,NULL,You see two magazines advertisements on separate pages. Each advertisement is fo,equal,25:03.9
1,Submit,NULL,The graph above shows the number of men and women with disease X. The total numb,20,25:21.2
1,Submit,NULL,You see two newspaper advertisements on separate pages. Each advertisement is fo,equal,25:29.7
1,Start Calibration,NULL,NULL,NULL,25:30.8
1,Begin Main Study,NULL,NULL,NULL,25:37.3
1,Submit,8,"1. On January 9, there were about 245,000 new COVID cases.",TRUE,25:55.6
1,Submit,43,2. No vaccines had been administered at the beginning of February.,FALSE,26:06.8
1,Submit,32,3. The day with the lowest number of COVID-related deaths in California in Janua,FALSE,26:22.2
1,Submit,19,4. More than half of the U.S. population was fully vaccinated by October.,TRUE,26:31.2
1,Submit,26,5. There were less people in California hospitalized from COVID on April 5 in 20,FALSE,26:51.2
1,Submit,30,6. There were around 1700 people in California hospitalized from COVID in the en,TRUE,26:59.9
1,Submit,48,7. Vaccines had been administered before March (according to the chart).,FALSE,27:05.4
1,Submit,1,"8. According to the chart, there was a day (or days) where there were virtually ",TRUE,27:14.8
1,Submit,9,"9. Between January 13th and January 14th, the number of new COVID cases declined",TRUE,27:23.1
1,Submit,29,10. There were more people in California hospitalized from COVID on April 5 in 2,FALSE,27:47.7
1,Submit,47,11. Vaccines began getting administered in March (according to the chart).,TRUE,27:55.2
1,Submit,15,"12. In March, more than double the amount of people became fully vaccinated as c",TRUE,28:09.6
1,Submit,34,13. The day with the highest number of COVID-related deaths in California in Jan,TRUE,28:25.8
1,Submit,10,"14. Between January 7th and January 17th, the highest daily count of new COVID c",FALSE,28:42.3
1,Submit,12,"15. By May, about a quarter of the U.S. population was fully vaccinated.",TRUE,28:51.2
1,Submit,23,16. There were around 2000 people in California hospitalized from COVID in the b,TRUE,29:01.2
1,Submit,38,17. There were less COVID-related deaths in California in the second half of the,FALSE,29:32.9
1,Submit,42,"18. Around 600,000 total vaccines had been administered at the beginning of Janu",FALSE,30:06.1
1,Submit,7,"19. Between January 9 and January 10, there were less than 5 new COVID cases.",FALSE,30:22.1
1,Submit,27,20. There were more people in California hospitalized from COVID on April 5 in 2,FALSE,30:46.0
1,Submit,37,21. There were less COVID-related deaths in California in the first half of the ,TRUE,31:04.5
1,Submit,6,"22. On January 12, there were about 250 new cases.",TRUE,31:14.7
1,Submit,4,"23. On January 17th, the number of new cases decreased by more than half that of",FALSE,31:24.3
1,Submit,24,24. There were around 1200 people in California hospitalized from COVID in the b,FALSE,31:45.9
1,Submit,2,"25. Between January 7th and January 8th, the number of new cases more than doubl",FALSE,31:51.8
1,Submit,20,26. January was the month with the least amount of full vaccinations completed.,TRUE,32:02.1
1,Submit,28,27. There were less people in California hospitalized from COVID on April 5 in 2,FALSE,32:26.0
1,Submit,31,28. The day with the lowest number of COVID-related deaths in California in Janu,FALSE,32:47.6
1,Submit,17,29. More people became fully vaccinated in July than in February.,TRUE,32:57.2
1,Submit,25,30. There were around the same number of people in California hospitalized from ,TRUE,33:13.8
1,Submit,49,31. The total number of vaccines administered at the beginning of March was arou,FALSE,33:23.0
1,Submit,5,"32. From January 7 to January 17, the number of new cases generally declined.",FALSE,33:34.7
1,Submit,11,33. Most of the fully vaccinated population became fully vaccinated in April.,FALSE,33:47.0
1,Submit,33,34. The day with the highest number of COVID-related deaths in California in Jan,FALSE,33:56.4
1,Submit,22,35. There were around 2100 people in California hospitalized from COVID in the b,TRUE,34:14.3
1,Submit,18,36. More people became fully vaccinated in October than in January.,TRUE,34:20.6
1,Submit,21,37. There were around 3500 people in California hospitalized from COVID in the b,TRUE,34:29.6
1,Submit,13,"38. By August, at least half of the U.S. population was fully vaccinated.",TRUE,34:35.9
1,Submit,39,39. The number of COVID-related deaths in California in January were trending up,FALSE,34:42.8
1,Submit,41,40. No vaccines had been administered at the beginning of January.,FALSE,34:54.4
1,Submit,46,41. Vaccines were administered in February.,FALSE,34:58.8
1,Submit,14,"42. In June, half as many people became fully vaccinated as compared to the amou",FALSE,35:25.1
1,Submit,35,43. There were more COVID-related deaths in California in the first half of the ,NULL,35:35.0
1,Submit,35,43. There were more COVID-related deaths in California in the first half of the ,FALSE,35:36.8
1,Submit,45,44. Vaccines were administered in January.,TRUE,35:41.5
1,Submit,3,"45. On January 16th, the number of new cases was about half that of the day befo",TRUE,35:48.2
1,Submit,36,46. There were more COVID-related deaths in California in the second half of the,TRUE,36:00.2
1,Submit,16,"47. More people became fully vaccinated in the Summer (June, July, August) than ",TRUE,36:13.6
1,Submit,44,"48. Around 4,500,000 total vaccines had been administered at the beginning of Fe",TRUE,36:22.6
1,Submit,40,49. The number of COVID-related deaths in California in January were trending do,FALSE,36:31.2
1,Submit,50,50. The total number of vaccines administered at the beginning of March was arou,TRUE,36:39.5
0,Begin Study,NULL,NULL,NULL,10:22.8
3,Claim User ID,NULL,NULL,NULL,10:23.7
3,Begin Prestudy,NULL,NULL,NULL,16:56.1
3,Submit,NULL,What's your age?,34,17:17.0
3,Submit,NULL,What's your major?,Computer Science,17:24.4
3,Submit,NULL,The graph above shows the percentage of people who die from different types of c,25%,18:05.9
3,Submit,NULL,You see two magazines advertisements on separate pages. Each advertisement is fo,Crosicol,19:26.4
3,Submit,NULL,The graph above shows the number of men and women with disease X. The total numb,20,19:51.2
3,Submit,NULL,You see two newspaper advertisements on separate pages. Each advertisement is fo,Nosporian,20:29.8
3,Start Calibration,NULL,NULL,NULL,20:37.6
3,Begin Main Study,NULL,NULL,NULL,20:44.8
3,Submit,15,"1. In March, more than double the amount of people became fully vaccinated as co",FALSE,21:42.2
3,Submit,35,2. There were more COVID-related deaths in California in the first half of the m,FALSE,23:00.7
3,Submit,47,3. Vaccines began getting administered in March (according to the chart).,FALSE,23:50.6
3,Submit,37,4. There were less COVID-related deaths in California in the first half of the m,TRUE,24:04.9
3,Submit,43,5. No vaccines had been administered at the beginning of February.,FALSE,24:32.8
3,Submit,33,6. The day with the highest number of COVID-related deaths in California in Janu,FALSE,25:08.1
3,Submit,12,"7. By May, about a quarter of the U.S. population was fully vaccinated.",FALSE,25:52.3
3,Submit,11,8. Most of the fully vaccinated population became fully vaccinated in April.,FALSE,26:55.3
3,Submit,3,"9. On January 16th, the number of new cases was about half that of the day befor",FALSE,27:37.8
3,Submit,29,10. There were more people in California hospitalized from COVID on April 5 in 2,FALSE,28:26.4
3,Submit,16,"11. More people became fully vaccinated in the Summer (June, July, August) than ",TRUE,28:52.2
3,Submit,39,12. The number of COVID-related deaths in California in January were trending up,TRUE,29:28.3
3,Submit,10,"13. Between January 7th and January 17th, the highest daily count of new COVID c",TRUE,30:31.2
3,Submit,22,14. There were around 2100 people in California hospitalized from COVID in the b,TRUE,30:53.7
3,Submit,50,15. The total number of vaccines administered at the beginning of March was arou,FALSE,31:24.7
3,Submit,36,16. There were more COVID-related deaths in California in the second half of the,TRUE,31:45.3
3,Submit,28,17. There were less people in California hospitalized from COVID on April 5 in 2,FALSE,33:17.3
3,Submit,38,18. There were less COVID-related deaths in California in the second half of the,FALSE,33:45.8
3,Submit,5,"19. From January 7 to January 17, the number of new cases generally declined.",TRUE,34:40.7
3,Submit,26,20. There were less people in California hospitalized from COVID on April 5 in 2,FALSE,35:12.6
3,Submit,30,21. There were around 1700 people in California hospitalized from COVID in the e,TRUE,35:43.8
3,Submit,8,"22. On January 9, there were about 245,000 new COVID cases.",TRUE,36:29.0
3,Submit,17,23. More people became fully vaccinated in July than in February.,TRUE,38:09.2
3,Submit,1,"24. According to the chart, there was a day (or days) where there were virtually",FALSE,38:19.8
3,Submit,48,25. Vaccines had been administered before March (according to the chart).,TRUE,38:38.4
3,Submit,31,26. The day with the lowest number of COVID-related deaths in California in Janu,FALSE,39:03.2
3,Submit,49,27. The total number of vaccines administered at the beginning of March was arou,FALSE,39:10.6
3,Submit,34,28. The day with the highest number of COVID-related deaths in California in Jan,TRUE,39:26.4
3,Submit,20,29. January was the month with the least amount of full vaccinations completed.,TRUE,39:52.4
3,Submit,14,"30. In June, half as many people became fully vaccinated as compared to the amou",FALSE,40:42.0
3,Submit,4,"31. On January 17th, the number of new cases decreased by more than half that of",FALSE,41:08.9
3,Submit,46,32. Vaccines were administered in February.,TRUE,41:38.4
3,Submit,32,33. The day with the lowest number of COVID-related deaths in California in Janu,TRUE,41:49.7
3,Submit,42,"34. Around 600,000 total vaccines had been administered at the beginning of Janu",FALSE,42:44.1
3,Submit,40,35. The number of COVID-related deaths in California in January were trending do,FALSE,43:24.2
3,Submit,27,36. There were more people in California hospitalized from COVID on April 5 in 2,TRUE,44:02.1
3,Submit,9,"37. Between January 13th and January 14th, the number of new COVID cases decline",FALSE,44:17.3
3,Submit,7,"38. Between January 9 and January 10, there were less than 5 new COVID cases.",FALSE,44:36.5
3,Submit,45,39. Vaccines were administered in January.,TRUE,45:04.9
3,Submit,23,40. There were around 2000 people in California hospitalized from COVID in the b,TRUE,45:47.0
3,Submit,6,"41. On January 12, there were about 250 new cases.",FALSE,45:57.5
3,Submit,21,42. There were around 3500 people in California hospitalized from COVID in the b,TRUE,46:37.9
3,Submit,13,"43. By August, at least half of the U.S. population was fully vaccinated.",TRUE,46:52.6
3,Submit,44,"44. Around 4,500,000 total vaccines had been administered at the beginning of Fe",TRUE,47:33.4
3,Submit,19,45. More than half of the U.S. population was fully vaccinated by October.,TRUE,48:14.9
3,Submit,24,46. There were around 1200 people in California hospitalized from COVID in the b,FALSE,48:36.6
3,Submit,2,"47. Between January 7th and January 8th, the number of new cases more than doubl",FALSE,49:05.5
3,Submit,25,48. There were around the same number of people in California hospitalized from ,FALSE,49:38.6
3,Submit,41,49. No vaccines had been administered at the beginning of January.,FALSE,50:07.3
3,Submit,18,50. More people became fully vaccinated in October than in January.,TRUE,50:30.4
0,Begin Study,NULL,NULL,NULL,12:25.6
4,Claim User ID,NULL,NULL,NULL,12:26.2
4,Begin Prestudy,NULL,NULL,NULL,20:16.2
4,Submit,NULL,What's your age?,22,20:22.3
4,Submit,NULL,What's your major?,CS,20:30.0
4,Submit,NULL,The graph above shows the percentage of people who die from different types of c,25,21:01.8
4,Submit,NULL,You see two magazines advertisements on separate pages. Each advertisement is fo,"They are equal,",22:18.5
4,Submit,NULL,The graph above shows the number of men and women with disease X. The total numb,20,23:06.6
4,Submit,NULL,You see two newspaper advertisements on separate pages. Each advertisement is fo, Nopsorian,23:40.7
4,Start Calibration,NULL,NULL,NULL,23:51.8
4,Begin Main Study,NULL,NULL,NULL,23:58.2
4,Submit,12,"1. By May, about a quarter of the U.S. population was fully vaccinated.",FALSE,25:14.9
4,Submit,14,"2. In June, half as many people became fully vaccinated as compared to the amoun",FALSE,25:37.5
4,Submit,26,3. There were less people in California hospitalized from COVID on April 5 in 20,FALSE,26:22.7
4,Submit,4,"4. On January 17th, the number of new cases decreased by more than half that of ",FALSE,26:45.6
4,Submit,27,5. There were more people in California hospitalized from COVID on April 5 in 20,FALSE,27:23.6
4,Submit,6,"6. On January 12, there were about 250 new cases.",FALSE,27:41.7
4,Submit,10,"7. Between January 7th and January 17th, the highest daily count of new COVID ca",TRUE,27:55.4
4,Submit,40,8. The number of COVID-related deaths in California in January were trending dow,FALSE,28:49.2
4,Submit,43,9. No vaccines had been administered at the beginning of February.,FALSE,29:03.4
4,Submit,39,10. The number of COVID-related deaths in California in January were trending up,FALSE,29:16.1
4,Submit,47,11. Vaccines began getting administered in March (according to the chart).,TRUE,29:22.2
4,Submit,22,12. There were around 2100 people in California hospitalized from COVID in the b,TRUE,29:38.6
4,Submit,1,"13. According to the chart, there was a day (or days) where there were virtually",FALSE,30:24.9
4,Submit,31,14. The day with the lowest number of COVID-related deaths in California in Janu,TRUE,30:34.1
4,Submit,9,"15. Between January 13th and January 14th, the number of new COVID cases decline",FALSE,30:52.0
4,Submit,28,16. There were less people in California hospitalized from COVID on April 5 in 2,FALSE,31:55.8
4,Submit,30,17. There were around 1700 people in California hospitalized from COVID in the e,FALSE,32:19.9
4,Submit,36,18. There were more COVID-related deaths in California in the second half of the,TRUE,32:26.1
4,Submit,42,"19. Around 600,000 total vaccines had been administered at the beginning of Janu",FALSE,32:50.3
4,Submit,49,20. The total number of vaccines administered at the beginning of March was arou,FALSE,32:59.3
4,Submit,25,21. There were around the same number of people in California hospitalized from ,TRUE,33:50.1
4,Submit,19,22. More than half of the U.S. population was fully vaccinated by October.,TRUE,33:58.5
4,Submit,21,23. There were around 3500 people in California hospitalized from COVID in the b,TRUE,34:21.7
4,Submit,23,24. There were around 2000 people in California hospitalized from COVID in the b,TRUE,34:56.4
4,Submit,8,"25. On January 9, there were about 245,000 new COVID cases.",FALSE,35:09.2
4,Submit,3,"26. On January 16th, the number of new cases was about half that of the day befo",TRUE,35:21.2
4,Submit,37,27. There were less COVID-related deaths in California in the first half of the ,TRUE,35:28.4
4,Submit,20,28. January was the month with the least amount of full vaccinations completed.,TRUE,35:36.6
4,Submit,34,29. The day with the highest number of COVID-related deaths in California in Jan,TRUE,35:42.2
4,Submit,7,"30. Between January 9 and January 10, there were less than 5 new COVID cases.",FALSE,35:48.7
4,Submit,15,"31. In March, more than double the amount of people became fully vaccinated as c",FALSE,36:01.5
4,Submit,17,32. More people became fully vaccinated in July than in February.,TRUE,36:10.3
4,Submit,44,"33. Around 4,500,000 total vaccines had been administered at the beginning of Fe",FALSE,36:21.1
4,Submit,24,34. There were around 1200 people in California hospitalized from COVID in the b,FALSE,36:31.6
4,Submit,41,35. No vaccines had been administered at the beginning of January.,TRUE,36:37.5
4,Submit,13,"36. By August, at least half of the U.S. population was fully vaccinated.",TRUE,36:46.2
4,Submit,11,37. Most of the fully vaccinated population became fully vaccinated in April.,FALSE,36:57.9
4,Submit,45,38. Vaccines were administered in January.,FALSE,37:02.5
4,Submit,5,"39. From January 7 to January 17, the number of new cases generally declined.",FALSE,37:11.7
4,Submit,2,"40. Between January 7th and January 8th, the number of new cases more than doubl",FALSE,37:25.8
4,Submit,32,41. The day with the lowest number of COVID-related deaths in California in Janu,FALSE,37:49.6
4,Submit,50,42. The total number of vaccines administered at the beginning of March was arou,FALSE,37:57.6
4,Submit,48,43. Vaccines had been administered before March (according to the chart).,FALSE,38:06.8
4,Submit,18,44. More people became fully vaccinated in October than in January.,TRUE,38:17.2
4,Submit,29,45. There were more people in California hospitalized from COVID on April 5 in 2,FALSE,38:45.0
4,Submit,33,46. The day with the highest number of COVID-related deaths in California in Jan,FALSE,38:52.9
4,Submit,38,47. There were less COVID-related deaths in California in the second half of the,FALSE,39:01.6
